#POPS.INPUT:  Ages + [Fe/H] for diag program to read. Leave 1st char blank.
    0.1000  -0.53
    0.1122  -0.53
    0.1259  -0.53
    0.1413  -0.53
    0.1585  -0.53
    0.1778  -0.53
    0.1995  -0.53
    0.2239  -0.53
    0.2512  -0.53
    0.2818  -0.53
    0.3162  -0.53
    0.3548  -0.53
    0.3981  -0.53
    0.4467  -0.53
    0.5012  -0.53
    0.5623  -0.53
    0.6310  -0.53
    0.7079  -0.53
    0.7943  -0.53
    0.8913  -0.53
    1.0000  -0.53
    1.1220  -0.53
    1.2589  -0.53
    1.4125  -0.53
    1.5849  -0.53
    1.7783  -0.53
    1.9953  -0.53
    2.2387  -0.53
    2.5119  -0.53
    2.8184  -0.53
    3.1623  -0.53
    3.5481  -0.53
    3.9811  -0.53
    4.4668  -0.53
    5.0119  -0.53
    5.6234  -0.53
    6.3096  -0.53
    7.0795  -0.53
    7.9433  -0.53
    8.9125  -0.53
   10.0000  -0.53
   11.2202  -0.53
   12.5893  -0.53
   14.1254  -0.53
   15.8490  -0.53
   17.7828  -0.53
