Cluster           [Fe/H]  e_[Fe/H]
ASCC_10            0.109  0.100
ASCC_101           0.004  0.064
ASCC_105           0.051  0.055
ASCC_107           0.353  0.103
ASCC_108           0.093  0.093
ASCC_11           -0.056  0.064
ASCC_110           0.140  0.195
ASCC_111           0.080  0.096
ASCC_113          -0.052  0.111
ASCC_114           0.035  0.078
ASCC_115           0.050  0.174
ASCC_12           -0.114  0.081
ASCC_123          -0.006  0.072
ASCC_127           0.152  0.115
ASCC_128           0.025  0.056
ASCC_13           -0.075  0.078
ASCC_16           -0.062  0.069
ASCC_19            0.076  0.077
ASCC_21           -0.008  0.029
ASCC_23            0.025  0.099
ASCC_29           -0.096  0.071
ASCC_30            0.049  0.114
ASCC_32           -0.003  0.048
ASCC_41           -0.089  0.056
ASCC_58            0.057  0.038
ASCC_6            -0.069  0.071
ASCC_66            0.042  0.170
ASCC_67            0.215  0.095
ASCC_71            0.063  0.065
ASCC_73           -0.153  0.147
ASCC_77            0.211  0.113
ASCC_79            0.043  0.079
ASCC_85            0.097  0.064
ASCC_87            0.141  0.086
ASCC_88            0.100  0.215
ASCC_9            -0.159  0.078
ASCC_90            0.083  0.114
ASCC_97            0.106  0.202
ASCC_99           -0.040  0.084
Alessi_1          -0.109  0.132
Alessi_10          0.019  0.076
Alessi_12         -0.023  0.079
Alessi_13          0.231  0.129
Alessi_17         -0.138  0.075
Alessi_18         -0.272  0.090
Alessi_19          0.129  0.078
Alessi_2           0.057  0.106
Alessi_20         -0.104  0.143
Alessi_21         -0.006  0.052
Alessi_24          0.079  0.058
Alessi_3          -0.057  0.045
Alessi_31          0.359  0.157
Alessi_37          0.063  0.056
Alessi_43         -0.051  0.082
Alessi_44          0.029  0.078
Alessi_5           0.064  0.084
Alessi_53         -0.202  0.191
Alessi_59         -0.094  0.160
Alessi_6           0.148  0.131
Alessi_60         -0.146  0.074
Alessi_62          0.104  0.074
Alessi_8           0.070  0.077
Alessi_9          -0.002  0.050
Alessi_Teutsch_11  0.072  0.066
Alessi_Teutsch_12 -0.056  0.099
Alessi_Teutsch_3   0.011  0.104
Alessi_Teutsch_5  -0.053  0.096
Alessi_Teutsch_8   0.154  0.077
Antalova_2         0.014  0.085
Archinal_1         0.118  0.112
Aveni_Hunter_1    -0.143  0.125
BDSB91             0.007  0.072
BDSB93            -0.109  0.115
BDSB96            -0.144  0.160
BH_111             0.071  0.082
BH_121            -0.089  0.109
BH_132             0.285  0.160
BH_151             0.341  0.215
BH_164             0.134  0.052
BH_19             -0.100  0.057
BH_200             0.121  0.087
BH_202             0.118  0.140
BH_205             0.110  0.137
BH_211             0.124  0.084
BH_217             0.240  0.113
BH_221             0.002  0.081
BH_23             -0.054  0.052
BH_245             0.119  0.163
BH_37             -0.072  0.094
BH_54              0.313  0.191
BH_55             -0.125  0.070
BH_56             -0.021  0.081
BH_72             -0.056  0.133
BH_78              0.147  0.159
BH_84              0.205  0.096
BH_85             -0.028  0.087
BH_87              0.027  0.117
BH_88             -0.141  0.172
BH_90             -0.016  0.059
BH_92             -0.100  0.127
BH_99              0.068  0.038
Barkhatova_1       0.047  0.183
Basel_1            0.102  0.098
Basel_10           0.104  0.104
Basel_11a         -0.041  0.054
Basel_11b          0.041  0.061
Basel_17           0.035  0.117
Basel_18           0.244  0.068
Basel_4           -0.175  0.085
Basel_8            0.028  0.064
Berkeley_1        -0.090  0.137
Berkeley_10       -0.100  0.120
Berkeley_101      -0.013  0.104
Berkeley_104      -0.294  0.134
Berkeley_11       -0.057  0.129
Berkeley_12       -0.256  0.117
Berkeley_13       -0.238  0.081
Berkeley_14       -0.268  0.099
Berkeley_15       -0.176  0.092
Berkeley_17       -0.069  0.109
Berkeley_19       -0.308  0.303
Berkeley_2        -0.160  0.127
Berkeley_23        0.055  0.083
Berkeley_24       -0.323  0.082
Berkeley_27       -0.211  0.100
Berkeley_28       -0.059  0.303
Berkeley_30       -0.206  0.110
Berkeley_31       -0.129  0.103
Berkeley_32       -0.280  0.046
Berkeley_33       -0.195  0.056
Berkeley_35       -0.301  0.091
Berkeley_36       -0.030  0.215
Berkeley_37       -0.309  0.061
Berkeley_39       -0.109  0.038
Berkeley_4        -0.103  0.096
Berkeley_43        0.138  0.453
Berkeley_44        0.066  0.109
Berkeley_45        0.274  0.079
Berkeley_47        0.137  0.130
Berkeley_50       -0.162  0.112
Berkeley_54        0.029  0.110
Berkeley_55        0.341  0.280
Berkeley_58       -0.100  0.057
Berkeley_59        0.001  0.097
Berkeley_6        -0.182  0.095
Berkeley_60       -0.167  0.077
Berkeley_61       -0.110  0.064
Berkeley_62       -0.101  0.076
Berkeley_63       -0.194  0.149
Berkeley_64       -0.203  0.083
Berkeley_65       -0.159  0.104
Berkeley_67       -0.197  0.114
Berkeley_68       -0.286  0.155
Berkeley_69       -0.175  0.111
Berkeley_7         0.090  0.261
Berkeley_70        0.006  0.084
Berkeley_71       -0.188  0.029
Berkeley_72       -0.311  0.118
Berkeley_73       -0.226  0.084
Berkeley_77       -0.087  0.046
Berkeley_78       -0.198  0.053
Berkeley_79        0.024  0.120
Berkeley_8        -0.077  0.157
Berkeley_80        0.098  0.155
Berkeley_81        0.215  0.032
Berkeley_82        0.299  0.144
Berkeley_85        0.424  0.104
Berkeley_86        0.180  0.308
Berkeley_87       -0.233  0.413
Berkeley_89       -0.140  0.088
Berkeley_9        -0.186  0.101
Berkeley_94       -0.100  0.188
Berkeley_95       -0.110  0.096
Berkeley_96       -0.094  0.035
Berkeley_97       -0.100  0.026
Berkeley_98       -0.059  0.190
Bica_2             0.100  0.152
Biurakan_2         0.145  0.116
Blanco_1          -0.016  0.023
Bochum_10          0.179  0.084
Bochum_11          0.206  0.249
Bochum_13          0.299  0.063
Bochum_3          -0.114  0.120
Bochum_4          -0.030  0.056
Bochum_6          -0.095  0.196
COIN-Gaia_1        0.035  0.255
COIN-Gaia_10      -0.085  0.144
COIN-Gaia_11       0.047  0.098
COIN-Gaia_12      -0.039  0.095
COIN-Gaia_13      -0.079  0.065
COIN-Gaia_14      -0.076  0.186
COIN-Gaia_15      -0.008  0.074
COIN-Gaia_16      -0.046  0.068
COIN-Gaia_17      -0.115  0.076
COIN-Gaia_18      -0.101  0.092
COIN-Gaia_19      -0.018  0.083
COIN-Gaia_2       -0.054  0.091
COIN-Gaia_20      -0.021  0.105
COIN-Gaia_21       0.003  0.113
COIN-Gaia_22      -0.062  0.093
COIN-Gaia_23      -0.009  0.059
COIN-Gaia_24       0.007  0.072
COIN-Gaia_25       0.012  0.104
COIN-Gaia_26      -0.017  0.104
COIN-Gaia_27      -0.215  0.102
COIN-Gaia_28      -0.047  0.032
COIN-Gaia_3        0.082  0.169
COIN-Gaia_30       0.008  0.128
COIN-Gaia_32      -0.026  0.161
COIN-Gaia_34      -0.084  0.150
COIN-Gaia_35      -0.140  0.174
